Species,Age,Sex,Wing,Weight,Tail
RT,I,,385,920,219
RT,I,,376,930,221
RT,I,,381,990,235
CH,I,F,265,470,220
SS,I,F,205,170,157
RT,I,,412,1090,230
RT,I,,370,960,212
RT,A,,375,855,243
RT,A,,412,1210,210
RT,I,,405,1120,238
RT,I,,393,1010,222
RT,I,,371,1010,217
RT,A,,390,1120,213
RT,A,,393,NA,238
RT,I,,416,1170,243
RT,A,,436,1390,232
RT,I,,418,1150,238
RT,A,,381,950,202
RT,I,,378,910,227
RT,I,,396,1010,227
RT,I,,399,1070,222
RT,I,,416,1190,237
RT,I,,415,101,238
RT,A,,392,1330,213
RT,I,,380,990,211
SS,I,M,173,100,130
RT,I,,399,1100,190
RT,A,,401,1190,245
SS,I,F,205,180,164
RT,I,,427,1490,246
RT,A,,395,1040,207
RT,I,,362,820,209
RT,A,,396,1030,200
RT,A,,391,1300,215
RT,A,,413,1500,219
RT,A,,371,1080,198
RT,A,,385,1320,207
RT,A,,378,1490,204
RT,A,,416,1500,205
SS,I,M,193,100,144
SS,I,M,171,88,136
CH,I,,233,324,191
RT,I,,384,1060,230
RT,I,,382,1140,227
RT,I,,390,1030,208
RT,I,,390,1000,231
RT,I,,393,1050,222
RT,I,,378,1040,225
RT,I,,398,1110,225
RT,I,,412,1300,233
RT,I,,400,980,214
RT,I,,422,1120,233
SS,I,F,202,134,158
RT,I,,394,1270,245
RT,I,,369,880,210
CH,I,F,252,340,230
CH,A,M,240,340,192
RT,I,,410,1255,229
RT,I,,241,1320,235
RT,I,,408,1320,221
RT,I,,37.2,1180,210
RT,I,,380,760,212
RT,I,,396,1250,225
RT,I,,326,NA,215
SS,I,M,158,100,122
RT,I,,416,1300,235
CH,I,F,271,475,232
SS,A,M,176,100,133
SS,A,F,194,NA,154
RT,A,,390,1080,209
RT,A,,391,1130,212
RT,A,,387,1160,209
RT,I,,420,1345,250
RT,A,,435,1385,235
RT,A,,400,1210,222
RT,I,,398,1455,236
RT,I,,395,1180,210
RT,I,,410,1500,239
RT,I,,369,1025,228
RT,I,,372,930,220
RT,I,,415,1360,233
RT,I,,412,1255,236
SS,I,F,205,194,155
SS,I,F,204,159,152
SS,I,M,170,90,135
CH,A,M,233,340,186
RT,I,,375,1065,216
RT,I,,385,1125,233
RT,I,,422,1340,248
RT,I,,391,1050,221
RT,I,,410,1210,227
RT,I,,385,980,223
RT,I,,381,1000,219
RT,A,,416,1390,225
RT,I,,406,1275,238
RT,I,,418,1180,235
RT,I,,412,1210,222
SS,A,F,208,168,155
SS,I,F,208,146,160
SS,I,M,175,108,137
SS,I,M,166,94,127
RT,I,,405,1085,238
SS,A,F,198,188,150
SS,I,F,200,154,150
RT,I,,380,810,229
RT,I,,381,905,227
SS,I,M,169,94,129
CH,I,F,260,420,220
RT,I,,428,1240,245
RT,I,,400,990,223
CH,I,F,265,365,224
SS,I,M,177,91,133
RT,I,,381,1010,210
RT,I,,403,980,234
RT,I,,382,860,219
RT,I,,382,970,216
RT,I,,399,980,230
RT,I,,380,985,223
RT,I,,375,990,220
RT,I,,420,1210,241
SS,I,M,170,89,136
SS,A,M,177,97,137
RT,I,,375,990,223
RT,I,,395,1170,238
SS,A,M,170,93,126
RT,I,,406,1350,235
RT,I,,414,1370,240
SS,I,M,173,103,137
SS,I,F,209,151,160
SS,I,M,177,101,140
RT,I,,388,985,220
RT,I,,277,940,218
RT,I,,423,1310,234
RT,I,,365,1035,232
RT,I,,383,965,221
RT,I,,391,1125,220
RT,I,,389,975,232
RT,I,,392,1140,214
RT,I,,375,950,225
RT,I,,410,1210,238
SS,I,M,179,95,133
SS,I,M,172,89,136
SS,A,F,202,195,151
SS,I,M,174,93,131
RT,I,,422,1205,238
RT,I,,385,1045,229
RT,I,,363,1090,202
RT,I,,450,1190,226
RT,I,,380,960,220
RT,I,,385,955,215
RT,I,,385,1110,122
SS,I,M,171,100,134
RT,I,,380,900,215
RT,I,,384,1075,208
RT,I,,373,980,211
RT,I,,381,940,220
RT,I,,363,1070,204
RT,I,,409,1120,229
RT,A,,390,1060,205
SS,I,F,204,168,155
SS,I,F,197,211,150
RT,I,,420,1125,244
RT,I,,381,1100,225
RT,I,,408,1360,239
RT,I,,388,995,222
RT,A,,398,1095,209
SS,I,F,209,196,164
SS,I,F,209,176,159
RT,A,,394,1075,211
SS,A,F,204,180,160
SS,I,F,204,164,157
SS,I,F,209,158,160
RT,I,,394,1140,216
RT,I,,416,1240,250
RT,I,,445,1465,260
SS,I,F,209,169,164
RT,I,,388,1105,217
RT,I,,397,1010,228
RT,I,,384,1075,218
RT,I,,379,1060,220
RT,I,,393,1015,227
RT,I,,386,1100,211
RT,I,,397,1010,222
RT,I,,382,1000,225
RT,I,,386,980,221
RT,I,,417,1240,231
RT,I,,403,1360,235
CH,A,M,239,183,182
RT,I,,401,1405,235
RT,A,,377,1055,200
RT,A,,432,1670,216
RT,I,,390,1250,223
RT,I,,381,1030,210
RT,I,,403,1040,229
SS,I,F,213,190,160
SS,I,M,172,105,125
RT,I,,390,1090,226
SS,I,F,204,190,154
RT,A,,386,1050,207
RT,I,,402,1110,238
SS,I,F,201,206,151
SS,I,F,202,195,158
RT,A,,374,1010,197
RT,I,,358,880,250
RT,I,,370,1060,215
RT,I,,390,920,214
RT,I,,398,1195,230
RT,I,,360,890,213
RT,I,,355,900,214
RT,A,,375,1110,224
SS,I,F,200,160,153
SS,I,M,179,105,131
SS,I,M,175,99,145
SS,I,F,203,165,165
SS,I,F,205,100,168
SS,I,F,213,125,156
RT,I,,409,1100,215
SS,I,F,202,NA,164
SS,I,F,195,155,155
RT,I,,415,1285,239
CH,A,M,236,390,185
RT,I,,363,920,214
RT,I,,381,1025,232
RT,A,,350,940,205
RT,I,,398,1240,243
RT,I,,412,1160,255
SS,I,F,203,150,159
SS,I,F,201,130,156
RT,I,,411,1240,276
RT,I,,373,930,210
SS,I,M,178,90,145
RT,I,,415,1240,231
RT,I,,383,1030,216
CH,I,M,223,550,210
RT,I,,390,1250,210
RT,I,,390,999,220
RT,A,,365,1120,260
RT,A,,345,1000,200
CH,I,F,273,530,213
RT,I,,400,1040,230
RT,I,,380,1150,220
RT,I,,330,1000,220
RT,I,,410,1360,235
RT,I,,313,930,215
RT,I,,384,980,215
RT,I,,409,1260,221
RT,I,,390,900,225
RT,I,,411,1300,238
CH,I,F,259,470,221
RT,A,,380,1040,212
RT,I,,370,950,215
RT,I,,415,1320,235
SS,I,F,215,180,132
RT,I,,410,1280,229
RT,I,,412,1310,251
RT,A,,384,910,215
RT,I,,404,1220,225
RT,I,,375,920,210
RT,I,,410,1135,267
RT,I,,384,940,220
RT,I,,385,920,238
RT,I,,398,1280,248
CH,A,,NA,480,198
RT,I,,425,1220,241
RT,I,,401,1000,212
RT,I,,387,1120,221
RT,I,,376,925,233
SS,A,M,171,90,138
RT,A,,420,1280,230
RT,I,,385,985,223
RT,I,,405,1350,226
RT,I,,350,730,208
RT,I,,388,890,231
RT,I,,398,1020,217
RT,A,,410,1000,230
SS,I,F,202,150,153
SS,I,F,204,180,186
RT,A,,382,1020,225
RT,I,,111,1340,226
RT,I,,396,1300,214
RT,I,,363,1015,242
RT,I,,360,900,220
RT,I,,390,1000,250
SS,I,M,195,150,178
RT,A,,390,1050,220
RT,I,,380,950,240
CH,I,M,225,350,215
CH,A,M,247,375,160
RT,A,,415,1175,230
RT,I,,354,980,220
RT,A,,417,1260,234
RT,I,,379,1050,226
RT,A,,412,1330,218
RT,A,,377,980,209
RT,I,,372,920,228
RT,I,,420,1540,235
RT,I,,368,1060,223
RT,I,,406,1420,245
CH,I,M,225,400,202
RT,I,,392,1142,235
SS,I,F,191,157,158
SS,I,M,161,98,133
RT,I,,365,813,221
SS,I,M,156,94,125
SS,I,F,191,155,158
SS,I,F,198,181,159
SS,I,M,160,92,132
SS,I,M,164,98,136
RT,I,,352,1024,216
CH,I,F,265,464,225
SS,I,M,163,100,137
SS,I,F,193,186,155
SS,I,F,190,164,155
SS,I,M,165,98,138
SS,I,M,162,NA,130
SS,A,F,198,158,154
RT,I,,370,1023,216
RT,I,,230,340,200
CH,I,M,194,163,158
SS,I,F,157,92,132
SS,I,M,260,550,215
CH,A,F,377,1119,226
RT,I,,364,917,216
RT,I,,367,946,221
RT,I,,233,337,196
CH,I,M,336,742,221
SS,I,F,259,439,218
CH,I,F,199,187,157
SS,I,F,165,92,135
SS,I,M,370,1094,221
RT,I,,362,832,210
RT,A,,368,1244,220
RT,I,,368,1244,220
RT,I,,367,974,221
RT,I,,400,1289,242
RT,I,,379,999,220
RT,I,,360,994,210
RT,I,,362,1004,221
RT,I,,378,1097,236
SS,I,F,201,185,162
SS,I,M,193,181,150
RT,I,,372,1092,235
RT,I,,369,1049,231
RT,I,,354,998,227
RT,I,,367,1091,238
RT,I,,349,987,225
RT,I,,375,1151,249
RT,I,,343,971,213
RT,I,,360,1159,240
RT,I,,395,1239,231
RT,I,,400,1216,227
SS,A,F,170,177,155
CH,I,F,268,469,227
RT,I,,369,1039,223
RT,I,,365,1079,228
RT,A,,375,1159,242
SS,I,M,230,162,149
CH,A,M,213,339,184
RT,A,,382,1403,247
SS,I,M,168,175,158
RT,A,,478,1473,267
RT,I,,469,1001,257
SS,I,M,172,98,148
RT,I,,373,914,221
RT,A,,386,1059,214
RT,I,,384,1147,229
RT,I,,351,949,213
SS,I,M,168,102,138
RT,I,,363,973,213
SS,I,F,199,196,158
CH,I,M,235,327,193
RT,A,,374,1064,201
RT,I,,369,749,216
SS,I,F,202,201,165
SS,I,F,202,180,160
RT,I,,374,1213,244
RT,I,,389,1200,230
RT,I,,379,1040,227
SS,I,M,170,113,139
RT,I,,373,919,233
RT,I,,403,1487,240
RT,I,,400,1254,237
SS,A,F,205,156,144
RT,I,,405,1189,210
RT,I,,382,979,225
SS,A,M,165,96,125
RT,I,,407,1339,246
RT,I,,403,1199,225
RT,I,,406,1344,230
RT,I,,381,969,220
RT,I,,395,1039,230
RT,I,,410,1054,233
CH,A,F,243,334,196
SS,I,M,170,101,135
SS,A,F,210,181,170
RT,A,,425,1449,232
RT,I,,402,985,234
RT,A,,480,1598,239
RT,I,,412,992,230
CH,I,F,260,569,227
RT,A,,381,1354,213
RT,A,,392,969,207
RT,I,,382,1080,214
SS,A,F,196,185,146
RT,A,,391,1097,217
RT,A,,397,1439,216
RT,I,,361,NA,214
RT,I,,376,1019,216
RT,A,,410,1239,222
RT,I,,381,1399,288
RT,I,,396,1169,238
RT,I,,383,1164,199
SS,I,F,203,176,161
RT,I,,271,NA,235
CH,I,F,255,429,208
SS,I,F,196,160,137
SS,I,M,168,105,143
RT,I,,392,890,219
SS,I,M,163,100,128
SS,I,F,205,NA,161
RT,I,,395,1215,236
SS,I,M,163,100,131
RT,I,,370,1030,225
CH,A,M,225,340,190
SS,I,F,197,165,150
RT,I,,376,985,223
RT,I,,372,975,225
RT,I,,391,1165,241
SS,I,,165,95,136
RT,I,,364,1044,210
SS,A,F,202,180,160
SS,I,M,163,125,135
RT,I,M,381,1080,223
RT,I,,375,890,219
RT,I,,392,1105,229
RT,A,,398,1310,211
RT,I,,371,895,204
RT,A,,367,1060,204
SS,A,F,193,165,146
RT,A,,375,960,214
RT,I,,408,1270,236
CH,A,F,252,540,185
CH,A,M,237,365,195
RT,I,,399,1170,247
CH,A,F,268,590,215
RT,I,,388,1225,227
SS,A,F,200,175,155
SS,I,F,192,170,159
SS,A,M,167,100,132
RT,I,,370,1060,225
SS,A,M,162,110,130
RT,I,,363,850,220
RT,I,,371,1145,215
SS,A,F,199,165,161
RT,I,,386,1090,226
RT,I,,400,1345,227
RT,I,,390,1050,236
SS,A,F,199,200,169
CH,A,F,254,505,212
RT,A,,382,1040,210
SS,A,F,196,155,164
RT,I,,354,965,226
RT,I,,403,1105,242
